federal_action_obligation,total_dollars_obligated,total_outlayed_amount_for_overall_award,current_total_value_of_award,awarding_agency_name,awarding_office_name,funding_agency_name,funding_office_name,recipient_name,recipient_city_name,recipient_county_name,recipient_state_name,primary_place_of_performance_country_name,transaction_description,prime_award_base_transaction_description,action_type,product_or_service_code_description,naics_description,recovered_materials_sustainability_code,domestic_or_foreign_entity,small_business_competitiveness_demonstration_program,alaskan_native_corporation_owned_firm,american_indian_owned_business,indian_tribe_federally_recognized,native_hawaiian_organization_owned_firm,tribally_owned_firm,veteran_owned_business,service_disabled_veteran_owned_business,woman_owned_business,women_owned_small_business,economically_disadvantaged_women_owned_small_business,minority_owned_business,asian_pacific_american_owned_business,black_american_owned_business,hispanic_american_owned_business,native_american_owned_business,other_minority_owned_business,contracting_officers_determination_of_business_size,emerging_small_business,us_federal_government,federally_funded_research_and_development_corp,federal_agency,usaspending_permalink
0.0,25200940.48,11388915.34,69580469.63,Environmental Protection Agency,INFORMATION TECHNOLOGY ACQ DIV (ITA,Environmental Protection Agency,OFC OF MISSION SUPT (OMS) (FUNDING),AT&T CORP,OAKTON,FAIRFAX,VIRGINIA,UNITED STATES,"AT&T CORP. - EPA DATA AND VOICE ENTERPRISE NETWORK SERVICES.   SEE MODIFICATION LOG UNDER SUPPORTING DOCUMENTS FOR INFO. ON ALL MODS.   APPROVE ATQ 72, REVISE B-2 LOCAL CLAUSES EPA-B-32-104 CONSIDERATION AND PAYMENT TO REFLECT THE DECREASE AN",US ENVIRONMENTAL PROTECTION AGENCY (USEPA) DATA AND VOICE ENTERPRISE NETWORK SERVICES,FUNDING ONLY ACTION,"IT AND TELECOM - SERVICE DELIVERY SUPPORT SERVICES: ITSM, OPERATIONS CENTER, PROJECT/PM (LABOR)",WIRED TELECOMMUNICATIONS CARRIERS,F,U.S. OWNED BUSINESS,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,OTHER THAN SMALL BUSINESS,f,f,f,f,https://www.usaspending.gov/award/CONT_AWD_68HERD22F0007_6800_GS00Q17NSD3000_4732/
104760.72,66308538.47,1830163.3,66308538.47,Environmental Protection Agency,REGION 5 CONTRACTING OFFICE,Environmental Protection Agency,REGION 5 (FUNDING OFFICE),"AECOM TECHNICAL SERVICES, INC.",LOS ANGELES,LOS ANGELES,CALIFORNIA,UNITED STATES,LITTLE SCIOTO RIVER TASK ORDER MODIFICATION APPROVING AND FUNDING FOR RFI 2-5,LITTLE SCIOTO RIVER TASK ORDER,CHANGE ORDER,ENVIRONMENTAL SYSTEMS PROTECTION- ENVIRONMENTAL REMEDIATION,REMEDIATION SERVICES,C,U.S. OWNED BUSINESS,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,OTHER THAN SMALL BUSINESS,f,f,f,f,https://www.usaspending.gov/award/CONT_AWD_68HE0523F0038_6800_68HERH19D0001_6800/
0.0,25200940.48,11388915.34,66128115.39,Environmental Protection Agency,INFORMATION TECHNOLOGY ACQ DIV (ITA,Environmental Protection Agency,OFC RESEARCH  DEV (ORD) (FUNDING),AT&T CORP,OAKTON,FAIRFAX,VIRGINIA,UNITED STATES,"AT&T CORP. - EPA DATA AND VOICE ENTERPRISE NETWORK SERVICES.   SEE MODIFICATION LOG UNDER SUPPORTING DOCUMENTS FOR INFO. ON ALL MODS.   APPROVE ATQS 73 - 78, REVISE B-2 LOCAL CLAUSES EPA-B-32-104 CONSIDERATION AND PAYMENT TO REFLECT THE DECRE",US ENVIRONMENTAL PROTECTION AGENCY (USEPA) DATA AND VOICE ENTERPRISE NETWORK SERVICES,SUPPLEMENTAL AGREEMENT FOR WORK WITHIN SCOPE,"IT AND TELECOM - SERVICE DELIVERY SUPPORT SERVICES: ITSM, OPERATIONS CENTER, PROJECT/PM (LABOR)",WIRED TELECOMMUNICATIONS CARRIERS,F,U.S. OWNED BUSINESS,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,OTHER THAN SMALL BUSINESS,f,f,f,f,https://www.usaspending.gov/award/CONT_AWD_68HERD22F0007_6800_GS00Q17NSD3000_4732/
489100.38,43999336.26,9316028.76,65840766.0,Environmental Protection Agency,INFORMATION TECHNOLOGY ACQ DIV (ITA,Environmental Protection Agency,OFC ENFCOMPL ASSU (OECA) (FUNDING),BOOZ ALLEN HAMILTON INC,MCLEAN,FAIRFAX,VIRGINIA,UNITED STATES,INTEGRATED COMPLIANCE INFORMATION SYSTEM - IT SYSTEM SUPPORT SERVICES - MODIFICATION P00075 - MODIFICATION TO  EXTEND THE TASK ORDER.,IGF::OT::IGF INTEGRATED COMPLIANCE INFORMATION SYSTEM - IT SYSTEM - SUPPORT SERVICES,SUPPLEMENTAL AGREEMENT FOR WORK WITHIN SCOPE,IT AND TELECOM- PROGRAMMING,COMPUTER SYSTEMS DESIGN SERVICES,C,U.S. OWNED BUSINESS,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,OTHER THAN SMALL BUSINESS,f,f,f,f,https://www.usaspending.gov/award/CONT_AWD_EPG16H01289_6800_GS00Q09BGD0019_4735/
0.0,43999336.26,9316028.76,65840766.0,Environmental Protection Agency,INFORMATION TECHNOLOGY ACQ DIV (ITA,Environmental Protection Agency,OFC ENFCOMPL ASSU (OECA) (FUNDING),BOOZ ALLEN HAMILTON INC,MCLEAN,FAIRFAX,VIRGINIA,UNITED STATES,INTEGRATED COMPLIANCE INFORMATION SYSTEM - IT SYSTEM SUPPORT SERVICES - MODIFICATION P00077 - MODIFICATION TO  EXTEND THE TASK ORDER.,IGF::OT::IGF INTEGRATED COMPLIANCE INFORMATION SYSTEM - IT SYSTEM - SUPPORT SERVICES,SUPPLEMENTAL AGREEMENT FOR WORK WITHIN SCOPE,IT AND TELECOM- PROGRAMMING,COMPUTER SYSTEMS DESIGN SERVICES,C,U.S. OWNED BUSINESS,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,OTHER THAN SMALL BUSINESS,f,f,f,f,https://www.usaspending.gov/award/CONT_AWD_EPG16H01289_6800_GS00Q09BGD0019_4735/
233000.0,48935395.07,14810841.2,61724468.17,Environmental Protection Agency,INFORMATION TECHNOLOGY ACQ DIV (ITA,Environmental Protection Agency,OFC RESEARCH  DEV (ORD) (FUNDING),"GENERAL DYNAMICS INFORMATION TECHNOLOGY, INC.",FALLS CHURCH,FAIRFAX,VIRGINIA,UNITED STATES,"ORD'S, SCIENTIFIC MODELS, APPLICATIONS, VISUALIZATION, COMPUTATIONAL SCIENCE, AND STATISTICAL SUPPORT (SMAVCS3). THIS TASK ORDER PROVIDES MODELING SOFTWARE SUPPORT. THE PURPOSE OF THIS MOD IS TO PROVIDE INCREMENTAL FUNDING.","IGF::OT::IGF:   OFFICE OF RESEARCH AND DEVELOPMENT (ORD), ""SCIENTIFIC MODELS, APPLICATIONS, VISUALIZATION, COMPUTATIONAL SCIENCE, AND STATISTICAL SUPPORT (SMAVCS3)",FUNDING ONLY ACTION,SUPPORT- PROFESSIONAL: OTHER,COMPUTER SYSTEMS DESIGN SERVICES,C,U.S. OWNED BUSINESS,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,OTHER THAN SMALL BUSINESS,f,f,f,f,https://www.usaspending.gov/award/CONT_AWD_EPG16H01256_6800_HHSN316201200013W_7529/
0.0,40439686.09,9209130.76,59903586.96,Environmental Protection Agency,CINCINNATI ACQUISITION DIV (CAD),Environmental Protection Agency,OFC OF MISSION SUPT (OMS) (FUNDING),"DUKE ENERGY PROGRESS, LLC",RALEIGH,WAKE,NORTH CAROLINA,UNITED STATES,"ELECTRIC UTILITIES FOR THE EPA AND NIEHS MAIN CAMPUS IN RTP, NC - ADMINISTRATIVE CORRECTION TO PERIOD OF PERFORMANCE","IGF::OT::IGF  ELECTRIC UTILITIES FOR THE EPA AND NIEHS MAIN CAMPUS IN RTP, NC",OTHER ADMINISTRATIVE ACTION,UTILITIES- ELECTRIC,ELECTRIC POWER DISTRIBUTION,C,U.S. OWNED BUSINESS,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,OTHER THAN SMALL BUSINESS,f,f,f,f,https://www.usaspending.gov/award/CONT_AWD_EPG15D00382_6800_GS00P14BSD1055_4740/
500000.0,40939686.09,9209130.76,59903586.96,Environmental Protection Agency,CINCINNATI ACQUISITION DIV (CAD),Environmental Protection Agency,OFC OF MISSION SUPT (OMS) (FUNDING),"DUKE ENERGY PROGRESS, LLC",RALEIGH,WAKE,NORTH CAROLINA,UNITED STATES,"ELECTRIC UTILITIES FOR THE EPA AND NIEHS MAIN CAMPUS IN RTP, NC - INCREMENTAL FUNDING","IGF::OT::IGF  ELECTRIC UTILITIES FOR THE EPA AND NIEHS MAIN CAMPUS IN RTP, NC",FUNDING ONLY ACTION,UTILITIES- ELECTRIC,ELECTRIC POWER DISTRIBUTION,C,U.S. OWNED BUSINESS,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,OTHER THAN SMALL BUSINESS,f,f,f,f,https://www.usaspending.gov/award/CONT_AWD_EPG15D00382_6800_GS00P14BSD1055_4740/
0.0,12658270.14,4613770.88,58386112.0,Environmental Protection Agency,CINCINNATI ACQUISITION DIV (CAD),Environmental Protection Agency,OFC OF MISSION SUPT (OMS) (FUNDING),ENERGY SYSTEMS GROUP LLC,NEWBURGH,WARRICK,INDIANA,UNITED STATES,"ENERGY SAVINGS PERFORMANCE CONTRACT TASK ORDER FOR RESEARCH TRIANGLE PARK CAMPUS, RTP, NORTH CAROLINA - ASSIGNMENT OF CLAIMS","ENERGY SAVINGS PERFORMANCE CONTRACT TASK ORDER FOR RESEARCH TRIANGLE PARK CAMPUS, RTP, NORTH CAROLINA",OTHER ADMINISTRATIVE ACTION,SPECIAL STUDIES/ANALYSIS- BUILDING TECHNOLOGY,ENGINEERING SERVICES,D,U.S. OWNED BUSINESS,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,OTHER THAN SMALL BUSINESS,f,f,f,f,https://www.usaspending.gov/award/CONT_AWD_68HE0C18F0857_6800_DEAM3609GO29030_8900/
429823.83,49365218.9,14810841.2,54155176.0,Environmental Protection Agency,INFORMATION TECHNOLOGY ACQ DIV (ITA,Environmental Protection Agency,OFC RESEARCH  DEV (ORD) (FUNDING),"GENERAL DYNAMICS INFORMATION TECHNOLOGY, INC.",FALLS CHURCH,FAIRFAX,VIRGINIA,UNITED STATES,"THE PURPOSE OF THIS MODIFICATION IS REALIGN THE CLIN'S CEILING AMOUNTS, AND TO PROVIDE INCREMENTAL FUNDING IN THE AMOUNT OF $429,823.83.","IGF::OT::IGF:   OFFICE OF RESEARCH AND DEVELOPMENT (ORD), ""SCIENTIFIC MODELS, APPLICATIONS, VISUALIZATION, COMPUTATIONAL SCIENCE, AND STATISTICAL SUPPORT (SMAVCS3)",OTHER ADMINISTRATIVE ACTION,SUPPORT- PROFESSIONAL: OTHER,COMPUTER SYSTEMS DESIGN SERVICES,C,U.S. OWNED BUSINESS,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,OTHER THAN SMALL BUSINESS,f,f,f,f,https://www.usaspending.gov/award/CONT_AWD_EPG16H01256_6800_HHSN316201200013W_7529/
1000000.0,49521795.73,31206672.43,49521795.73,Environmental Protection Agency,REGION 5 CONTRACTING OFFICE,Environmental Protection Agency,REGION 5 (FUNDING OFFICE),"TETRA TECH, INC.",CHICAGO,COOK,ILLINOIS,UNITED STATES,"SUPERFUND TECHNICAL ASSESSMENT & RESPONSE TEAM (START), REGION 5, TASK ORDER FOR BULK REMOVAL ACTIVITIES, FUNDING PR TDTOLINS MOD","SUPERFUND TECHNICAL ASSESSMENT&RESPONSE TEAM (START), REGION 5, TASK ORDER FOR BULK REMOVAL ACTIVITIES",FUNDING ONLY ACTION,SUPPORT- PROFESSIONAL: EMERGENCY RESPONSE/DISASTER PLANNING/PREPAREDNESS SUPPORT,ENVIRONMENTAL CONSULTING SERVICES,F,U.S. OWNED BUSINESS,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,OTHER THAN SMALL BUSINESS,f,f,f,f,https://www.usaspending.gov/award/CONT_AWD_68HE0520F0032_6800_68HE0519D0005_6800/
0.0,49521795.73,31206672.43,49521795.73,Environmental Protection Agency,REGION 5 CONTRACTING OFFICE,Environmental Protection Agency,REGION 5 (FUNDING OFFICE),"TETRA TECH, INC.",CHICAGO,COOK,ILLINOIS,UNITED STATES,"SUPERFUND TECHNICAL ASSESSMENT & RESPONSE TEAM (START), REGION 5, TASK ORDER FOR BULK REMOVAL ACTIVITIES, ADMINISTRATIVE MODIFICATION WITH TDTOLINS","SUPERFUND TECHNICAL ASSESSMENT&RESPONSE TEAM (START), REGION 5, TASK ORDER FOR BULK REMOVAL ACTIVITIES",OTHER ADMINISTRATIVE ACTION,SUPPORT- PROFESSIONAL: EMERGENCY RESPONSE/DISASTER PLANNING/PREPAREDNESS SUPPORT,ENVIRONMENTAL CONSULTING SERVICES,F,U.S. OWNED BUSINESS,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,OTHER THAN SMALL BUSINESS,f,f,f,f,https://www.usaspending.gov/award/CONT_AWD_68HE0520F0032_6800_68HE0519D0005_6800/
0.0,48521795.73,31206672.43,48521795.73,Environmental Protection Agency,REGION 5 CONTRACTING OFFICE,Environmental Protection Agency,REGION 5 (FUNDING OFFICE),"TETRA TECH, INC.",CHICAGO,COOK,ILLINOIS,UNITED STATES,"SUPERFUND TECHNICAL ASSESSMENT & RESPONSE TEAM (START), REGION 5, TASK ORDER FOR BULK REMOVAL ACTIVITIES, ADMINISTRATIVE TDTOLINS MOD","SUPERFUND TECHNICAL ASSESSMENT&RESPONSE TEAM (START), REGION 5, TASK ORDER FOR BULK REMOVAL ACTIVITIES",OTHER ADMINISTRATIVE ACTION,SUPPORT- PROFESSIONAL: EMERGENCY RESPONSE/DISASTER PLANNING/PREPAREDNESS SUPPORT,ENVIRONMENTAL CONSULTING SERVICES,F,U.S. OWNED BUSINESS,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,OTHER THAN SMALL BUSINESS,f,f,f,f,https://www.usaspending.gov/award/CONT_AWD_68HE0520F0032_6800_68HE0519D0005_6800/
6000000.0,48521795.73,31206672.43,48521795.73,Environmental Protection Agency,REGION 5 CONTRACTING OFFICE,Environmental Protection Agency,REGION 5 (FUNDING OFFICE),"TETRA TECH, INC.",CHICAGO,COOK,ILLINOIS,UNITED STATES,"SUPERFUND TECHNICAL ASSESSMENT & RESPONSE TEAM (START), REGION 5, TASK ORDER FOR BULK REMOVAL ACTIVITIES, FUNDING AND TDTOLINS MOD","SUPERFUND TECHNICAL ASSESSMENT&RESPONSE TEAM (START), REGION 5, TASK ORDER FOR BULK REMOVAL ACTIVITIES",FUNDING ONLY ACTION,SUPPORT- PROFESSIONAL: EMERGENCY RESPONSE/DISASTER PLANNING/PREPAREDNESS SUPPORT,ENVIRONMENTAL CONSULTING SERVICES,F,U.S. OWNED BUSINESS,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,OTHER THAN SMALL BUSINESS,f,f,f,f,https://www.usaspending.gov/award/CONT_AWD_68HE0520F0032_6800_68HE0519D0005_6800/
